FolioSolicitud,Cliente_Name,Location_Name
8869,Chime Bank,TPMXN Cuauhtemoc
8870,Western Union,TPMXN Sierra
8871,GrubHub,TPMXN Saguaro
8872,Alliance Data,TPMXN Nova
8873,GM Financial,TPMXN Universidad
8874,Comcast,TPMXN Hacienda
8875,Western Union,TPMXN Sierra
8876,Comcast,TPMXN Alpha
8877,Western Union,TPMXN Talavera
8878,Western Union,TPMXN Talavera
8879,Chime Bank,TPMXN Cuauhtemoc
8879,Chime Bank,TPMXN Cuauhtemoc
8880,Comcast,TPMXN Hacienda
8881,Western Union,TPMXN Talavera
8882,Alliance Data,TPMXN Nova
8883,Western Union,TPMXN Sierra
8884,Chime Bank,TPMXN Cuauhtemoc
8885,Chime Bank,TPMXN Cuauhtemoc
8886,Comcast,TPMXN Hacienda
8887,Chime Bank,TPMXN Cuauhtemoc
8888,GrubHub,TPMXN Saguaro
8889,GM Financial,TPMXN Universidad
8890,GrubHub,TPMXN Saguaro
8891,Western Union,TPMXN Talavera
8892,Western Union,TPMXN Sierra
8893,Western Union,TPMXN Talavera
8894,Alliance Data,TPMXN Nova
8895,GrubHub,TPMXN Saguaro
8896,Comcast,TPMXN Alpha
8897,Comcast,TPMXN Hacienda
8898,Comcast,TPMXN Alpha
8899,Comcast,TPMXN Alpha
8900,GrubHub,TPMXN Saguaro
8901,Alliance Data,TPMXN Nova
8902,Western Union,TPMXN Sierra
8903,GM Financial,TPMXN Universidad
8904,Alliance Data,TPMXN Nova
8905,Chime Bank,TPMXN Cuauhtemoc
8906,Comcast,TPMXN Hacienda
8907,Western Union,TPMXN Sierra
8908,GrubHub,TPMXN Saguaro
8909,Comcast,TPMXN Alpha
8910,Western Union,TPMXN Talavera
8911,GM Financial,TPMXN Universidad
8912,Western Union,TPMXN Talavera
8913,Western Union,TPMXN Sierra
8914,Comcast,TPMXN Alpha
8915,Chime Bank,TPMXN Cuauhtemoc
8916,Alliance Data,TPMXN Nova
8917,Western Union,TPMXN Talavera
8918,Comcast,TPMXN Hacienda
8919,Western Union,TPMXN Sierra
8920,Chime Bank,TPMXN Cuauhtemoc
8921,GrubHub,TPMXN Saguaro
8922,Chime Bank,TPMXN Cuauhtemoc
8922,Chime Bank,TPMXN Cuauhtemoc
8923,GM Financial,TPMXN Universidad
8924,Western Union,TPMXN Talavera
8925,Comcast,TPMXN Hacienda
8926,GrubHub,TPMXN Saguaro
8927,Chime Bank,TPMXN Cuauhtemoc
8928,GrubHub,TPMXN Saguaro
8929,Alliance Data,TPMXN Nova
8930,GM Financial,TPMXN Universidad
8931,Western Union,TPMXN Sierra
8932,Chime Bank,TPMXN Cuauhtemoc
8933,Comcast,TPMXN Hacienda
8934,Comcast,TPMXN Alpha
8935,Comcast,TPMXN Alpha
8936,GM Financial,TPMXN Universidad
8937,GrubHub,TPMXN Saguaro
8938,Alliance Data,TPMXN Nova
8939,Western Union,TPMXN Talavera
8940,Western Union,TPMXN Talavera
8941,Western Union,TPMXN Sierra
8942,Western Union,TPMXN Sierra
8943,Alliance Data,TPMXN Nova
8944,Comcast,TPMXN Alpha
8945,Comcast,TPMXN Hacienda
8946,Comcast,TPMXN Hacienda
8947,GM Financial,TPMXN Universidad
8948,Western Union,TPMXN Talavera
8949,Comcast,TPMXN Alpha
8950,Alliance Data,TPMXN Nova
8951,Western Union,TPMXN Talavera
8952,Comcast,TPMXN Alpha
8953,GrubHub,TPMXN Saguaro
8954,GrubHub,TPMXN Saguaro
8955,Western Union,TPMXN Sierra
8956,Comcast,TPMXN Hacienda
8957,Western Union,TPMXN Talavera
8958,GM Financial,TPMXN Universidad
8959,Western Union,TPMXN Sierra
8960,GrubHub,TPMXN Saguaro
8961,GrubHub,TPMXN Saguaro
8962,Alliance Data,TPMXN Nova
8963,Chime Bank,TPMXN Cuauhtemoc
8964,Chime Bank,TPMXN Cuauhtemoc
8965,GM Financial,TPMXN Universidad
8966,Comcast,TPMXN Hacienda
8967,GM Financial,TPMXN Universidad
8968,Alliance Data,TPMXN Nova
8969,Chime Bank,TPMXN Cuauhtemoc
8969,Chime Bank,TPMXN Cuauhtemoc
8970,GrubHub,TPMXN Saguaro
8971,Western Union,TPMXN Sierra
8972,Western Union,TPMXN Talavera
8973,GM Financial,TPMXN Universidad
8974,Western Union,TPMXN Talavera
8975,Comcast,TPMXN Alpha
8976,Western Union,TPMXN Sierra
8977,Western Union,TPMXN Sierra
8978,Chime Bank,TPMXN Cuauhtemoc
8978,Chime Bank,TPMXN Cuauhtemoc
8979,Alliance Data,TPMXN Nova
8980,Comcast,TPMXN Hacienda
8981,Comcast,TPMXN Alpha
8982,Western Union,TPMXN Talavera
8983,Alliance Data,TPMXN Nova
8984,Comcast,TPMXN Alpha
8985,GrubHub,TPMXN Saguaro
8986,GrubHub,TPMXN Saguaro
8987,Western Union,TPMXN Sierra
8988,Comcast,TPMXN Alpha
8989,Alliance Data,TPMXN Nova
8990,Comcast,TPMXN Hacienda
8991,Comcast,TPMXN Hacienda
8992,GrubHub,TPMXN Saguaro
8993,Western Union,TPMXN Talavera
8994,Western Union,TPMXN Talavera
8995,Comcast,TPMXN Alpha
8996,GrubHub,TPMXN Saguaro
8997,Western Union,TPMXN Sierra
8998,GM Financial,TPMXN Universidad
8999,Chime Bank,TPMXN Cuauhtemoc
8999,Chime Bank,TPMXN Cuauhtemoc
9000,Comcast,TPMXN Hacienda
9001,Western Union,TPMXN Talavera
9002,Alliance Data,TPMXN Nova
9003,GM Financial,TPMXN Universidad
9004,Chime Bank,TPMXN Cuauhtemoc
9005,Chime Bank,TPMXN Cuauhtemoc
9006,Western Union,TPMXN Talavera
9007,Chime Bank,TPMXN Cuauhtemoc
9008,GM Financial,TPMXN Universidad
9009,Western Union,TPMXN Sierra
